production_day,station_id,station_name,oee_pct,availability_pct,performance_pct,quality_pct,defect_rate_pct,downtime_minutes,mtbf_hours,mttr_hours,anomaly_score,is_anomaly
2026-01-27,10,SFX-PLM-ASSY-01,75.66,83.03,99.65,91.44,0.0,41.52,0.0,0.0,0.18093010684261163,False
2026-01-27,10,SFX-PLM-ASSY-01,75.66,83.03,99.65,91.44,0.0,10.17,0.0,0.0,0.16864305537501667,False
2026-01-27,10,SFX-PLM-ASSY-01,75.66,83.03,99.65,91.44,0.0,33.2,0.0,0.0,0.18482181544990856,False
2026-01-16,10,SFX-PLM-ASSY-01,61.83,66.53,99.46,93.43,0.0,19.62,0.0,0.0,0.13507515652224428,False
2026-01-16,10,SFX-PLM-ASSY-01,61.83,66.53,99.46,93.43,0.0,18.05,0.0,0.0,0.13075923267877,False
2026-03-12,10,SFX-PLM-ASSY-01,69.59,75.65,99.43,92.52,0.0,21.47,0.0,0.0,0.14307692368342373,False
2026-03-12,10,SFX-PLM-ASSY-01,69.59,75.65,99.43,92.52,0.0,18.0,0.0,0.0,0.13604744651003509,False
2026-03-12,10,SFX-PLM-ASSY-01,69.59,75.65,99.43,92.52,0.0,63.27,0.0,0.0,0.10844531900471438,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,25.2,0.0,0.0,0.1988649847722445,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,29.53,0.0,0.0,0.20081592614125837,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,68.97,0.0,0.0,0.1493496821683875,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,16.62,0.0,0.0,0.19276090473561858,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,45.3,0.0,0.0,0.19086134849432185,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,33.62,0.0,0.0,0.20013574487264857,False
2026-05-04,10,SFX-PLM-ASSY-01,66.49,72.63,99.56,91.95,0.0,19.47,0.0,0.0,0.19570587495560393,False
2025-11-19,10,SFX-PLM-ASSY-01,68.97,75.84,99.61,91.3,0.0,55.45,0.0,0.0,0.1661925046001641,False
2025-11-19,10,SFX-PLM-ASSY-01,68.97,75.84,99.61,91.3,0.0,5.18,0.0,0.0,0.16213115691548935,False
2026-02-11,10,SFX-PLM-ASSY-01,36.81,39.33,99.75,93.84,0.0,48.35,0.0,0.0,0.01511122849876112,False
2026-02-11,10,SFX-PLM-ASSY-01,36.81,39.33,99.75,93.84,0.0,36.83,0.0,0.0,0.02816116375374078,False
2025-12-16,10,SFX-PLM-ASSY-01,55.86,60.9,99.68,92.02,0.0,100.85,0.0,0.0,0.09663678549458377,False
2025-12-16,10,SFX-PLM-ASSY-01,55.86,60.9,99.68,92.02,0.0,47.85,0.0,0.0,0.1833020476164765,False
2025-12-16,10,SFX-PLM-ASSY-01,55.86,60.9,99.68,92.02,0.0,72.17,0.0,0.0,0.1442564883607378,False
2025-12-16,10,SFX-PLM-ASSY-01,55.86,60.9,99.68,92.02,0.0,42.9,0.0,0.0,0.19192838894289488,False
2026-05-05,10,SFX-PLM-ASSY-01,48.26,52.18,99.52,92.94,0.0,43.47,0.0,0.0,0.1454369692664207,False
2026-05-05,10,SFX-PLM-ASSY-01,48.26,52.18,99.52,92.94,0.0,15.98,0.0,0.0,0.14234119588518918,False
2026-05-05,10,SFX-PLM-ASSY-01,48.26,52.18,99.52,92.94,0.0,8.82,0.0,0.0,0.1312395964463839,False
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,28.87,0.0,0.0,-0.015487552353801615,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,19.4,0.0,0.0,-0.021178995358495878,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,20.13,0.0,0.0,-0.019902436011332014,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,132.58,0.0,0.0,-0.09694139002958735,True
2026-04-10,10,SFX-PLM-ASSY-01,32.52,36.26,99.33,90.3,0.0,50.47,0.0,0.0,-0.029631756455230196,True
2026-04-21,10,SFX-PLM-ASSY-01,77.54,84.33,99.57,92.35,0.0,61.23,0.0,0.0,0.15100807464000615,False
2026-04-21,10,SFX-PLM-ASSY-01,77.54,84.33,99.57,92.35,0.0,36.6,0.0,0.0,0.1809275493111538,False
2026-04-21,10,SFX-PLM-ASSY-01,77.54,84.33,99.57,92.35,0.0,16.97,0.0,0.0,0.17539574474154285,False
2026-04-21,10,SFX-PLM-ASSY-01,77.54,84.33,99.57,92.35,0.0,6.32,0.0,0.0,0.15229652538550348,False
2025-12-18,10,SFX-PLM-ASSY-01,66.85,71.63,99.74,93.57,0.0,10.23,0.0,0.0,0.1294120767310502,False
2025-12-18,10,SFX-PLM-ASSY-01,66.85,71.63,99.74,93.57,0.0,10.47,0.0,0.0,0.13100548293168884,False
2025-12-18,10,SFX-PLM-ASSY-01,66.85,71.63,99.74,93.57,0.0,39.28,0.0,0.0,0.14430420222377055,False
2025-12-18,10,SFX-PLM-ASSY-01,66.85,71.63,99.74,93.57,0.0,23.72,0.0,0.0,0.14116045351052264,False
2025-12-03,10,SFX-PLM-ASSY-01,53.0,57.09,99.88,92.94,0.0,26.57,0.0,0.0,0.107714659043747,False
2025-12-03,10,SFX-PLM-ASSY-01,53.0,57.09,99.88,92.94,0.0,23.25,0.0,0.0,0.10707312668013635,False
2025-12-03,10,SFX-PLM-ASSY-01,53.0,57.09,99.88,92.94,0.0,53.77,0.0,0.0,0.08817462608861903,False
2025-12-03,10,SFX-PLM-ASSY-01,53.0,57.09,99.88,92.94,0.0,26.02,0.0,0.0,0.10913184634096545,False
