production_day,station_id,station_name,oee_pct,availability_pct,performance_pct,quality_pct,defect_rate_pct,downtime_minutes,mtbf_hours,mttr_hours,anomaly_score,is_anomaly
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,23.92,0.0,0.0,-0.007932163333309594,True
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,37.55,0.0,0.0,-0.004694441780255021,True
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,41.98,0.0,0.0,-0.006971542148620613,True
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,58.98,0.0,0.0,-0.02068918211920545,True
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,26.97,0.0,0.0,-0.005963943482032996,True
2026-04-30,7,FRA-OVE-L01-01,34.77,37.18,99.41,94.07,0.0,41.77,0.0,0.0,-0.006971542148620613,True
2026-01-14,2,HDR-MLD-L01-01,55.4,60.91,99.5,91.42,0.0,184.67,0.0,0.0,-0.01915928414224166,True
2026-02-03,2,HDR-MLD-L01-01,30.86,33.46,99.31,92.86,0.0,54.25,0.0,0.0,-0.03266124300943307,True
2026-02-03,2,HDR-MLD-L01-01,30.86,33.46,99.31,92.86,0.0,45.93,0.0,0.0,-0.025301436017814982,True
2026-04-09,2,HDR-MLD-L01-01,30.71,34.26,99.65,89.94,0.0,84.07,0.0,0.0,-0.023226251129409126,True
2026-04-09,2,HDR-MLD-L01-01,30.71,34.26,99.65,89.94,0.0,113.45,0.0,0.0,-0.05208289792967291,True
2026-03-04,2,HDR-MLD-L01-01,89.57,100.0,99.38,90.13,0.0,31.83,0.0,0.0,-0.009444946878748417,True
2025-11-20,2,HDR-MLD-L01-01,44.21,47.98,99.51,92.61,0.0,132.13,0.0,0.0,-0.003068832931697907,True
2026-04-15,5,FRA-PP-L01-02,67.53,73.0,99.37,93.11,0.0,186.33,0.0,0.0,-0.06713767139290672,True
2026-03-10,5,FRA-PP-L01-02,46.21,51.28,99.47,90.58,0.0,154.35,0.0,0.0,-0.043621719697448436,True
2026-02-17,5,FRA-PP-L01-02,34.8,38.75,99.82,89.96,0.0,118.53,0.0,0.0,-0.07677341243005975,True
